Account Trade History,,,,,,,,,,,
,Exec Time,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,Price,Net Price,Order Type
,05/29/23 14:37:00,STOCK,BUY,3,TO CLOSE,TSLA,,,STOCK,5.3714,5.371399369861117,['MKT']
,05/30/23 14:29:00,STOCK,BUY,9,TO OPEN,SPY,,,ETF,9.6047,9.604698873236972,['LMT']
,05/29/23 10:16:00,STOCK,BUY,5,TO OPEN,ATNF,,,STOCK,8.0613,8.061299054298956,['MKT']
,05/26/23 12:15:00,STOCK,SELL,-9,TO CLOSE,TSLA,,,STOCK,4.2716,4.27159949888274,['MKT']
,05/31/23 14:36:00,STOCK,SELL,-2,TO CLOSE,SPY,,,ETF,1.0171,1.0170998806802214,['STP']
,05/29/23 12:10:00,STOCK,SELL,-8,TO CLOSE,SPY,,,ETF,27.752,27.75199674430981,['MKT']
,05/29/23 09:56:00,STOCK,SELL,-9,TO OPEN,TSLA,,,STOCK,5.1757,5.175699392819411,['MKT']
,05/31/23 11:14:00,STOCK,SELL,-2,TO CLOSE,DD,,,STOCK,26.7342,26.73419686371171,['MKT']
,05/31/23 15:24:00,STOCK,SELL,-4,TO CLOSE,SPY,,,ETF,30.26,30.259996450087016,['STP']
,05/30/23 11:28:00,STOCK,BUY,2,TO CLOSE,SPY,,,ETF,2.6525,2.6524996888253733,['MKT']
,05/29/23 10:10:00,STOCK,SELL,-1,TO CLOSE,TSLA,,,STOCK,5.4454,5.445399361179902,['MKT']
,05/29/23 10:43:00,STOCK,BUY,7,TO OPEN,DD,,,STOCK,7.747,7.746999091170657,['MKT']
,05/26/23 15:48:00,STOCK,SELL,-5,TO CLOSE,TSLA,,,STOCK,2.3064,2.30639972942765,['STP']
,05/30/23 13:42:00,STOCK,BUY,5,TO OPEN,DD,,,STOCK,5.5905,5.590499344157681,['MKT']
,05/26/23 09:02:00,STOCK,SELL,-10,TO CLOSE,CMMB,,,STOCK,3.3722,3.3721996043946936,['MKT']
,05/30/23 15:33:00,STOCK,SELL,-7,TO OPEN,AUPH,,,STOCK,96.2775,96.2774887053289,['MKT']
,05/30/23 15:01:00,STOCK,SELL,-8,TO CLOSE,SLB,,,STOCK,6.868,6.867999194289413,['STP']
,05/29/23 14:16:00,STOCK,SELL,-6,TO CLOSE,SOUN,,,STOCK,58.2299,58.22989316883417,['MKT']
,05/30/23 12:12:00,STOCK,BUY,3,TO OPEN,AUPH,,,STOCK,3.2894,3.2893996141082695,['MKT']
,05/30/23 11:50:00,STOCK,SELL,-92,TO CLOSE,SLB,,,STOCK,9.459,9.45899889032958,['MKT']
